cluster_id,vocab,sleep_wake,session,item,target,RT
AmPm0cde,33,sleep,1,agouti,1,2166.7
AmPm0cde,33,wake,1,banyan,1,1502.3
AmPm0cde,33,wake,1,baobab,1,863.1
AmPm0cde,33,sleep,1,blenny,0,NA
AmPm0cde,33,wake,1,caracal,1,873.3
AmPm0cde,33,wake,1,deglupta,0,NA
AmPm0cde,33,sleep,1,dingo,0,NA
AmPm0cde,33,sleep,1,dorado,0,NA
AmPm0cde,33,wake,1,drongo,0,NA
AmPm0cde,33,wake,1,galah,0,NA
AmPm0cde,33,wake,1,gelada,0,NA
AmPm0cde,33,wake,1,hoopoe,1,1541.7
AmPm0cde,33,sleep,1,komondor,1,1860.5
AmPm0cde,33,wake,1,lesula,0,NA
AmPm0cde,33,sleep,1,lycaon,0,NA
AmPm0cde,33,wake,1,mandrill,1,733.3
AmPm0cde,33,sleep,1,marmot,1,2636.1
AmPm0cde,33,wake,1,oncilla,0,NA
AmPm0cde,33,sleep,1,oranda,0,NA
AmPm0cde,33,sleep,1,protea,0,NA
AmPm0cde,33,wake,1,serval,0,NA
AmPm0cde,33,sleep,1,trillium,0,NA
AmPm0cde,33,sleep,1,woylie,0,NA
AmPm0cde,33,sleep,1,zinnia,0,NA
AmPm0cde,33,sleep,2,agouti,1,878
AmPm0cde,33,wake,2,banyan,1,1167.8
AmPm0cde,33,wake,2,baobab,0,NA
AmPm0cde,33,sleep,2,blenny,1,1119.9
AmPm0cde,33,wake,2,caracal,1,1199.8
AmPm0cde,33,wake,2,deglupta,0,NA
AmPm0cde,33,sleep,2,dingo,0,NA
AmPm0cde,33,sleep,2,dorado,0,NA
AmPm0cde,33,wake,2,drongo,0,NA
AmPm0cde,33,wake,2,galah,0,NA
AmPm0cde,33,wake,2,gelada,0,NA
AmPm0cde,33,wake,2,hoopoe,1,1097.5
AmPm0cde,33,sleep,2,komondor,1,990.9
AmPm0cde,33,wake,2,lesula,0,NA
AmPm0cde,33,sleep,2,lycaon,0,NA
AmPm0cde,33,wake,2,mandrill,1,871.6
AmPm0cde,33,sleep,2,marmot,1,1513.6
AmPm0cde,33,wake,2,oncilla,0,NA
AmPm0cde,33,sleep,2,oranda,0,NA
AmPm0cde,33,sleep,2,protea,0,NA
AmPm0cde,33,wake,2,serval,0,NA
AmPm0cde,33,sleep,2,trillium,0,NA
AmPm0cde,33,sleep,2,woylie,0,NA
AmPm0cde,33,sleep,2,zinnia,0,NA
AmPm5cd0,37,wake,2,drongo,0,NA
AmPm5cd0,37,wake,2,deglupta,0,NA
AmPm5cd0,37,sleep,2,dingo,0,NA
AmPm5cd0,37,sleep,2,dorado,0,NA
AmPm5cd0,37,wake,2,caracal,0,NA
AmPm5cd0,37,sleep,2,agouti,0,NA
AmPm5cd0,37,wake,2,banyan,0,NA
AmPm5cd0,37,wake,2,baobab,0,NA
AmPm5cd0,37,sleep,2,blenny,1,973.4
AmPm5cd0,37,wake,2,galah,0,NA
AmPm5cd0,37,wake,2,gelada,0,NA
AmPm5cd0,37,wake,2,hoopoe,1,1020.4
AmPm5cd0,37,sleep,1,agouti,0,NA
AmPm5cd0,37,wake,1,banyan,1,2563.5
AmPm5cd0,37,wake,1,baobab,1,2544.1
AmPm5cd0,37,sleep,1,blenny,1,1199
AmPm5cd0,37,wake,1,caracal,0,NA
AmPm5cd0,37,wake,1,deglupta,0,NA
AmPm5cd0,37,sleep,1,dingo,0,NA
AmPm5cd0,37,sleep,1,dorado,0,NA
AmPm5cd0,37,wake,1,drongo,0,NA
AmPm5cd0,37,wake,1,galah,0,NA
AmPm5cd0,37,wake,1,gelada,0,NA
AmPm5cd0,37,wake,1,hoopoe,1,909.9
AmPm5cd0,37,sleep,1,komondor,0,NA
AmPm5cd0,37,wake,1,lesula,0,NA
AmPm5cd0,37,sleep,1,lycaon,0,NA
AmPm5cd0,37,wake,1,mandrill,1,2500
AmPm5cd0,37,sleep,1,marmot,0,NA
AmPm5cd0,37,wake,1,oncilla,0,NA
AmPm5cd0,37,sleep,1,oranda,1,1700.7
AmPm5cd0,37,sleep,1,protea,0,NA
AmPm5cd0,37,wake,1,serval,0,NA
AmPm5cd0,37,sleep,1,trillium,1,2037.7
AmPm5cd0,37,sleep,1,woylie,0,NA
AmPm5cd0,37,sleep,1,zinnia,0,NA
AmPm5cd0,37,wake,2,serval,0,NA
AmPm5cd0,37,sleep,2,trillium,1,1240.8
AmPm5cd0,37,sleep,2,komondor,0,NA
AmPm5cd0,37,wake,2,lesula,0,NA
AmPm5cd0,37,sleep,2,lycaon,0,NA
AmPm5cd0,37,wake,2,mandrill,1,3352
AmPm5cd0,37,sleep,2,marmot,1,3852.5
AmPm5cd0,37,wake,2,oncilla,1,1115.5
AmPm5cd0,37,sleep,2,oranda,1,1002.3
AmPm5cd0,37,sleep,2,protea,0,NA
AmPm5cd0,37,sleep,2,woylie,0,NA
AmPm5cd0,37,sleep,2,zinnia,0,NA
AmPm46f8,36,wake,1,serval,1,1506
AmPm46f8,36,sleep,1,protea,0,NA
AmPm46f8,36,wake,1,gelada,0,NA
AmPm46f8,36,sleep,1,agouti,1,1656.5
AmPm46f8,36,wake,1,banyan,0,NA
AmPm46f8,36,wake,1,baobab,1,1474.8
AmPm46f8,36,sleep,1,blenny,1,1442.7
AmPm46f8,36,wake,1,caracal,1,2689.2
AmPm46f8,36,wake,1,deglupta,1,1116.8
AmPm46f8,36,sleep,1,dingo,1,1260.1
AmPm46f8,36,sleep,1,dorado,0,NA
AmPm46f8,36,wake,1,drongo,1,2485.3
AmPm46f8,36,wake,1,galah,1,1894
AmPm46f8,36,sleep,1,zinnia,0,NA
AmPm46f8,36,wake,1,hoopoe,1,841.3
AmPm46f8,36,sleep,1,komondor,0,NA
AmPm46f8,36,wake,1,lesula,0,NA
AmPm46f8,36,sleep,1,lycaon,0,NA
AmPm46f8,36,wake,1,mandrill,1,836
AmPm46f8,36,sleep,1,marmot,0,NA
AmPm46f8,36,wake,1,oncilla,1,1227.3
AmPm46f8,36,sleep,1,oranda,1,1502.3
AmPm46f8,36,sleep,2,agouti,1,872.2
AmPm46f8,36,sleep,1,trillium,1,1193.3
AmPm46f8,36,sleep,1,woylie,0,NA
AmPm46f8,36,wake,2,hoopoe,1,856.3
AmPm46f8,36,sleep,2,komondor,0,NA
AmPm46f8,36,wake,2,lesula,0,NA
AmPm46f8,36,wake,2,banyan,1,2974.5
AmPm46f8,36,wake,2,baobab,1,1187.6
AmPm46f8,36,sleep,2,blenny,1,940.5
AmPm46f8,36,wake,2,caracal,0,NA
AmPm46f8,36,wake,2,deglupta,0,NA
AmPm46f8,36,sleep,2,dingo,1,941
AmPm46f8,36,sleep,2,dorado,0,NA
AmPm46f8,36,wake,2,drongo,1,894
AmPm46f8,36,wake,2,galah,1,1473.2
AmPm46f8,36,wake,2,gelada,0,NA
AmPm46f8,36,wake,2,mandrill,0,NA
AmPm46f8,36,sleep,2,marmot,1,2578.9
AmPm46f8,36,wake,2,oncilla,1,1184.8
AmPm46f8,36,sleep,2,lycaon,0,NA
AmPm46f8,36,sleep,2,protea,0,NA
AmPm46f8,36,wake,2,serval,1,2104.3
AmPm46f8,36,sleep,2,trillium,1,818.6
AmPm46f8,36,sleep,2,oranda,0,NA
AmPm46f8,36,sleep,2,zinnia,0,NA
AmPm46f8,36,sleep,2,woylie,1,1074.3
AmPm420f,37,wake,1,komondor,1,757.9
AmPm420f,37,wake,1,agouti,1,910.7
AmPm420f,37,sleep,1,gelada,1,1193.5
AmPm420f,37,sleep,1,hoopoe,1,971.5
AmPm420f,37,wake,1,blenny,1,827.4
AmPm420f,37,sleep,1,caracal,0,NA
AmPm420f,37,sleep,1,banyan,0,NA
AmPm420f,37,sleep,1,baobab,0,NA
AmPm420f,37,wake,1,dorado,0,NA
AmPm420f,37,sleep,1,drongo,1,799.6
AmPm420f,37,sleep,1,galah,0,NA
AmPm420f,37,sleep,1,deglupta,0,NA
AmPm420f,37,wake,1,dingo,1,737.7
AmPm420f,37,wake,2,agouti,0,NA
AmPm420f,37,sleep,2,banyan,0,NA
AmPm420f,37,sleep,2,baobab,0,NA
AmPm420f,37,wake,2,blenny,1,849.2
AmPm420f,37,sleep,2,caracal,0,NA
AmPm420f,37,sleep,2,deglupta,0,NA
AmPm420f,37,wake,2,dingo,1,692.2
AmPm420f,37,wake,2,dorado,0,NA
AmPm420f,37,sleep,2,drongo,1,1041.7
AmPm420f,37,sleep,2,galah,0,NA
AmPm420f,37,sleep,2,gelada,0,NA
AmPm420f,37,sleep,2,hoopoe,1,841.3
AmPm420f,37,wake,2,komondor,0,NA
AmPm420f,37,sleep,2,lesula,1,1989.8
AmPm420f,37,wake,2,lycaon,0,NA
AmPm420f,37,sleep,2,mandrill,1,1538.7
AmPm420f,37,wake,2,marmot,1,1120.3
AmPm420f,37,sleep,2,oncilla,1,1079.1
AmPm420f,37,wake,2,oranda,0,NA
AmPm420f,37,wake,2,protea,0,NA
AmPm420f,37,sleep,2,serval,1,1081.8
AmPm420f,37,wake,2,trillium,0,NA
AmPm420f,37,wake,2,woylie,1,754.7
AmPm420f,37,wake,2,zinnia,0,NA
AmPm420f,37,sleep,1,lesula,1,1016.7
AmPm420f,37,wake,1,lycaon,0,NA
AmPm420f,37,wake,1,oranda,0,NA
AmPm420f,37,wake,1,protea,1,1403.1
AmPm420f,37,sleep,1,serval,1,925.2
AmPm420f,37,wake,1,trillium,0,NA
AmPm420f,37,wake,1,woylie,1,948.1
AmPm420f,37,wake,1,zinnia,1,3130.5
AmPm420f,37,sleep,1,mandrill,1,1017.9
AmPm420f,37,wake,1,marmot,1,964
AmPm420f,37,sleep,1,oncilla,0,NA
AmPm96bc,NA,wake,1,agouti,1,2266.2
AmPm96bc,NA,sleep,1,baobab,1,3897.4
AmPm96bc,NA,wake,1,blenny,1,1627.6
AmPm96bc,NA,sleep,1,caracal,0,NA
AmPm96bc,NA,sleep,1,deglupta,0,NA
AmPm96bc,NA,wake,1,dingo,1,790.4
AmPm96bc,NA,wake,1,dorado,1,1479.2
AmPm96bc,NA,sleep,1,drongo,1,1250
AmPm96bc,NA,sleep,1,galah,0,NA
AmPm96bc,NA,sleep,1,gelada,0,NA
AmPm96bc,NA,sleep,1,hoopoe,0,NA
AmPm96bc,NA,wake,1,komondor,1,978.2
AmPm96bc,NA,sleep,1,lesula,0,NA
AmPm96bc,NA,wake,1,lycaon,1,1966.8
AmPm96bc,NA,sleep,1,mandrill,1,1195.6
AmPm96bc,NA,wake,1,marmot,1,786.6
AmPm96bc,NA,sleep,1,oncilla,0,NA
AmPm96bc,NA,wake,1,oranda,0,NA
AmPm96bc,NA,wake,1,protea,1,854.9
AmPm96bc,NA,sleep,1,serval,1,3986
AmPm96bc,NA,wake,1,trillium,0,NA
AmPm96bc,NA,wake,1,woylie,1,839.7
AmPm96bc,NA,wake,1,zinnia,1,871
AmPm96bc,NA,wake,2,agouti,1,1625.9
AmPm96bc,NA,sleep,2,baobab,1,1571.4
AmPm96bc,NA,wake,2,blenny,1,1000
AmPm96bc,NA,sleep,2,caracal,0,NA
AmPm96bc,NA,sleep,2,deglupta,0,NA
AmPm96bc,NA,wake,2,dingo,1,1057.7
AmPm96bc,NA,wake,2,dorado,1,2095.2
AmPm96bc,NA,sleep,2,drongo,1,1058.7
AmPm96bc,NA,sleep,2,galah,0,NA
AmPm96bc,NA,sleep,2,gelada,0,NA
AmPm96bc,NA,sleep,2,hoopoe,0,NA
AmPm96bc,NA,wake,2,komondor,1,1455.8
AmPm96bc,NA,sleep,2,lesula,1,1155.6
AmPm96bc,NA,wake,2,lycaon,1,1262.8
AmPm96bc,NA,sleep,2,mandrill,1,886.6
AmPm96bc,NA,wake,2,marmot,1,2566.9
AmPm96bc,NA,sleep,2,oncilla,0,NA
AmPm96bc,NA,wake,2,oranda,1,1524.7
AmPm96bc,NA,wake,2,protea,1,882.7
AmPm96bc,NA,sleep,2,serval,1,4009.6
AmPm96bc,NA,wake,2,trillium,0,NA
AmPm96bc,NA,wake,2,woylie,1,988.7
AmPm96bc,NA,wake,2,zinnia,1,1289.7
AmPm874d,41,wake,2,agouti,1,3333.3
AmPm874d,41,sleep,2,deglupta,0,NA
AmPm874d,41,wake,2,dingo,0,NA
AmPm874d,41,wake,2,dorado,0,NA
AmPm874d,41,sleep,2,drongo,1,891.2
AmPm874d,41,sleep,2,galah,0,NA
AmPm874d,41,sleep,2,gelada,1,1644
AmPm874d,41,sleep,2,hoopoe,1,868.5
AmPm874d,41,wake,2,komondor,0,NA
AmPm874d,41,sleep,2,lesula,0,NA
AmPm874d,41,sleep,2,banyan,1,1114.8
AmPm874d,41,sleep,2,baobab,1,1676.9
AmPm874d,41,wake,2,blenny,0,NA
AmPm874d,41,sleep,2,caracal,0,NA
AmPm874d,41,wake,2,lycaon,0,NA
AmPm874d,41,sleep,2,mandrill,1,778.1
AmPm874d,41,wake,1,agouti,0,NA
AmPm874d,41,sleep,1,banyan,1,1048.8
AmPm874d,41,sleep,1,baobab,0,NA
AmPm874d,41,wake,1,blenny,0,NA
AmPm874d,41,sleep,1,caracal,0,NA
AmPm874d,41,sleep,1,deglupta,0,NA
AmPm874d,41,wake,1,dingo,0,NA
AmPm874d,41,wake,1,dorado,0,NA
AmPm874d,41,sleep,1,drongo,0,NA
AmPm874d,41,sleep,1,galah,0,NA
AmPm874d,41,sleep,1,gelada,1,1261.5
AmPm874d,41,sleep,1,hoopoe,1,700.7
AmPm874d,41,wake,1,komondor,0,NA
AmPm874d,41,sleep,1,lesula,0,NA
AmPm874d,41,wake,1,lycaon,0,NA
AmPm874d,41,sleep,1,mandrill,1,768.6
AmPm874d,41,wake,1,marmot,0,NA
AmPm874d,41,sleep,1,oncilla,0,NA
AmPm874d,41,wake,1,oranda,0,NA
AmPm874d,41,wake,1,protea,0,NA
AmPm874d,41,sleep,1,serval,0,NA
AmPm874d,41,wake,1,trillium,1,859
AmPm874d,41,wake,1,woylie,0,NA
AmPm874d,41,wake,1,zinnia,0,NA
AmPm874d,41,sleep,2,serval,0,NA
AmPm874d,41,wake,2,trillium,0,NA
AmPm874d,41,wake,2,woylie,0,NA
AmPm874d,41,wake,2,zinnia,0,NA
AmPm874d,41,wake,2,marmot,0,NA
AmPm874d,41,sleep,2,oncilla,0,NA
AmPm874d,41,wake,2,oranda,0,NA
AmPm874d,41,wake,2,protea,0,NA
AmPm181c,37,sleep,1,banyan,0,NA
AmPm181c,37,wake,1,agouti,1,7494.9
AmPm181c,37,wake,1,protea,1,6339.3
AmPm181c,37,sleep,1,serval,0,NA
AmPm181c,37,wake,1,trillium,1,1060.1
AmPm181c,37,wake,1,woylie,0,NA
AmPm181c,37,wake,1,zinnia,0,NA
AmPm181c,37,sleep,1,gelada,0,NA
AmPm181c,37,sleep,1,hoopoe,0,NA
AmPm181c,37,wake,1,komondor,1,1278.3
AmPm181c,37,sleep,1,lesula,0,NA
AmPm181c,37,wake,1,lycaon,0,NA
AmPm181c,37,sleep,1,baobab,1,3010.5
AmPm181c,37,wake,1,blenny,1,2461.7
AmPm181c,37,sleep,1,caracal,0,NA
AmPm181c,37,sleep,1,deglupta,0,NA
AmPm181c,37,wake,1,dingo,1,935.4
AmPm181c,37,wake,1,dorado,0,NA
AmPm181c,37,sleep,1,drongo,0,NA
AmPm181c,37,sleep,1,galah,0,NA
AmPm181c,37,wake,2,blenny,1,1262.9
AmPm181c,37,sleep,2,caracal,0,NA
AmPm181c,37,sleep,2,deglupta,1,1707.8
AmPm181c,37,sleep,1,mandrill,1,915.8
AmPm181c,37,wake,1,marmot,0,NA
AmPm181c,37,sleep,1,oncilla,0,NA
AmPm181c,37,wake,1,oranda,0,NA
AmPm181c,37,wake,2,agouti,1,4813.8
AmPm181c,37,sleep,2,banyan,1,1519
AmPm181c,37,sleep,2,baobab,1,860.1
AmPm181c,37,wake,2,dingo,1,2526.2
AmPm181c,37,wake,2,dorado,0,NA
AmPm181c,37,sleep,2,oncilla,1,2346.8
AmPm181c,37,sleep,2,hoopoe,1,1068
AmPm181c,37,wake,2,komondor,1,1105.4
AmPm181c,37,sleep,2,lesula,0,NA
AmPm181c,37,wake,2,lycaon,0,NA
AmPm181c,37,sleep,2,mandrill,1,727.6
AmPm181c,37,wake,2,marmot,0,NA
AmPm181c,37,sleep,2,drongo,0,NA
AmPm181c,37,wake,2,oranda,0,NA
AmPm181c,37,wake,2,protea,0,NA
AmPm181c,37,sleep,2,serval,0,NA
AmPm181c,37,sleep,2,galah,0,NA
AmPm181c,37,sleep,2,gelada,0,NA
AmPm181c,37,wake,2,zinnia,0,NA
AmPm181c,37,wake,2,trillium,1,NA
AmPm181c,37,wake,2,woylie,0,NA
AmPm10e8,30,sleep,1,caracal,0,NA
AmPm10e8,30,sleep,1,banyan,0,NA
AmPm10e8,30,sleep,1,baobab,0,NA
AmPm10e8,30,wake,1,blenny,0,NA
AmPm10e8,30,sleep,1,drongo,1,980.6
AmPm10e8,30,sleep,1,deglupta,0,NA
AmPm10e8,30,wake,1,dingo,1,1323.7
AmPm10e8,30,wake,1,dorado,0,NA
AmPm10e8,30,wake,1,komondor,1,764.2
AmPm10e8,30,sleep,1,lesula,0,NA
AmPm10e8,30,wake,1,lycaon,0,NA
AmPm10e8,30,sleep,1,mandrill,1,1295.9
AmPm10e8,30,wake,1,marmot,0,NA
AmPm10e8,30,sleep,1,oncilla,0,NA
AmPm10e8,30,wake,1,oranda,0,NA
AmPm10e8,30,wake,1,protea,0,NA
AmPm10e8,30,sleep,1,galah,0,NA
AmPm10e8,30,sleep,1,gelada,1,1185.4
AmPm10e8,30,sleep,1,hoopoe,1,1151.8
AmPm10e8,30,sleep,2,banyan,0,NA
AmPm10e8,30,sleep,2,baobab,1,4753.4
AmPm10e8,30,wake,2,blenny,0,NA
AmPm10e8,30,sleep,2,caracal,0,NA
AmPm10e8,30,sleep,2,deglupta,0,NA
AmPm10e8,30,wake,2,dingo,1,2000
AmPm10e8,30,wake,2,dorado,0,NA
AmPm10e8,30,sleep,2,drongo,1,864.8
AmPm10e8,30,sleep,2,galah,0,NA
AmPm10e8,30,sleep,2,gelada,1,1342.3
AmPm10e8,30,sleep,2,hoopoe,1,714.3
AmPm10e8,30,wake,2,komondor,1,1062.5
AmPm10e8,30,sleep,2,lesula,0,NA
AmPm10e8,30,wake,2,lycaon,0,NA
AmPm10e8,30,sleep,2,mandrill,1,989.2
AmPm10e8,30,wake,2,marmot,0,NA
AmPm10e8,30,sleep,2,oncilla,0,NA
AmPm10e8,30,wake,2,oranda,0,NA
AmPm10e8,30,wake,2,protea,0,NA
AmPm10e8,30,sleep,2,serval,0,NA
AmPm10e8,30,wake,2,trillium,1,2584.3
AmPm10e8,30,wake,2,woylie,1,1102
AmPm10e8,30,wake,2,zinnia,0,NA
AmPm10e8,30,sleep,1,serval,0,NA
AmPm10e8,30,wake,1,trillium,1,1585
AmPm10e8,30,wake,1,woylie,1,1154.8
AmPm10e8,30,wake,1,zinnia,0,NA
AmPm361c,30,sleep,1,agouti,0,NA
AmPm361c,30,wake,1,banyan,1,1842.4
AmPm361c,30,sleep,1,dingo,1,641.2
AmPm361c,30,sleep,1,dorado,1,1150.5
AmPm361c,30,wake,1,drongo,0,NA
AmPm361c,30,wake,1,galah,0,NA
AmPm361c,30,wake,1,gelada,0,NA
AmPm361c,30,wake,1,hoopoe,1,861.7
AmPm361c,30,sleep,1,komondor,0,NA
AmPm361c,30,wake,1,baobab,0,NA
AmPm361c,30,sleep,1,blenny,1,1407.7
AmPm361c,30,wake,1,caracal,0,NA
AmPm361c,30,wake,1,deglupta,0,NA
AmPm361c,30,sleep,1,protea,0,NA
AmPm361c,30,wake,1,serval,1,4992.1
AmPm361c,30,sleep,1,trillium,1,1153.1
AmPm361c,30,sleep,1,woylie,0,NA
AmPm361c,30,sleep,1,zinnia,0,NA
AmPm361c,30,wake,1,lesula,0,NA
AmPm361c,30,sleep,1,lycaon,1,1367.9
AmPm361c,30,wake,1,mandrill,1,1300.6
AmPm361c,30,sleep,1,marmot,0,NA
AmPm361c,30,wake,1,oncilla,0,NA
AmPm361c,30,sleep,1,oranda,0,NA
AmPm361c,30,sleep,2,agouti,1,1237.2
AmPm361c,30,wake,2,banyan,1,805
AmPm361c,30,wake,2,baobab,0,NA
AmPm361c,30,sleep,2,blenny,1,833.3
AmPm361c,30,wake,2,caracal,0,NA
AmPm361c,30,wake,2,deglupta,0,NA
AmPm361c,30,sleep,2,dingo,1,1130.1
AmPm361c,30,sleep,2,dorado,1,1330.4
AmPm361c,30,wake,2,drongo,0,NA
AmPm361c,30,wake,2,galah,0,NA
AmPm361c,30,wake,2,gelada,0,NA
AmPm361c,30,wake,2,hoopoe,1,893.4
AmPm361c,30,sleep,2,komondor,1,1135.2
AmPm361c,30,wake,2,lesula,1,5960.2
AmPm361c,30,sleep,2,lycaon,1,1094.4
AmPm361c,30,wake,2,mandrill,1,1224.5
AmPm361c,30,sleep,2,marmot,0,NA
AmPm361c,30,wake,2,oncilla,0,NA
AmPm361c,30,sleep,2,oranda,0,NA
AmPm361c,30,sleep,2,protea,0,NA
AmPm361c,30,wake,2,serval,1,1789.7
AmPm361c,30,sleep,2,trillium,1,917.9
AmPm361c,30,sleep,2,woylie,1,927.4
AmPm361c,30,sleep,2,zinnia,0,NA
AmPm5de6,40,sleep,1,agouti,0,NA
AmPm5de6,40,wake,1,banyan,1,2151.9
AmPm5de6,40,wake,1,caracal,1,872.4
AmPm5de6,40,wake,1,deglupta,1,1249.4
AmPm5de6,40,sleep,1,blenny,1,824.8
AmPm5de6,40,sleep,1,dorado,1,1484.1
AmPm5de6,40,wake,1,drongo,1,1471.1
AmPm5de6,40,wake,1,baobab,0,NA
AmPm5de6,40,sleep,1,dingo,1,1208.6
AmPm5de6,40,wake,1,galah,0,NA
AmPm5de6,40,wake,1,gelada,0,NA
AmPm5de6,40,wake,1,hoopoe,1,807.5
AmPm5de6,40,sleep,1,komondor,1,1502.6
AmPm5de6,40,wake,1,lesula,1,1009.5
AmPm5de6,40,sleep,1,lycaon,0,NA
AmPm5de6,40,wake,1,mandrill,1,1173.3
AmPm5de6,40,sleep,1,marmot,0,NA
AmPm5de6,40,wake,1,oncilla,0,NA
AmPm5de6,40,sleep,1,oranda,0,NA
AmPm5de6,40,sleep,1,protea,1,NA
AmPm5de6,40,wake,1,serval,0,NA
AmPm5de6,40,sleep,1,trillium,1,1269.8
AmPm5de6,40,sleep,1,woylie,1,960.9
AmPm5de6,40,wake,2,gelada,1,3255.1
AmPm5de6,40,wake,2,hoopoe,1,768.3
AmPm5de6,40,sleep,2,agouti,1,1414.4
AmPm5de6,40,wake,2,banyan,1,1398.8
AmPm5de6,40,wake,2,baobab,0,NA
AmPm5de6,40,sleep,2,blenny,1,751.7
AmPm5de6,40,wake,2,caracal,0,NA
AmPm5de6,40,wake,2,deglupta,1,1002.3
AmPm5de6,40,sleep,2,dingo,1,861.1
AmPm5de6,40,sleep,2,dorado,1,1668.9
AmPm5de6,40,wake,2,drongo,1,848.1
AmPm5de6,40,wake,2,galah,1,807.8
AmPm5de6,40,sleep,2,komondor,1,668.7
AmPm5de6,40,wake,2,lesula,0,NA
AmPm5de6,40,sleep,2,lycaon,0,NA
AmPm5de6,40,wake,2,mandrill,1,813.5
AmPm5de6,40,sleep,2,marmot,1,1736.7
AmPm5de6,40,wake,2,oncilla,0,NA
AmPm5de6,40,sleep,2,oranda,0,NA
AmPm5de6,40,sleep,2,protea,1,646.3
AmPm5de6,40,wake,2,serval,0,NA
AmPm5de6,40,sleep,2,trillium,1,685.4
AmPm5de6,40,sleep,2,woylie,1,1234.7
AmPme02f,38,sleep,2,agouti,1,1054.4
AmPme02f,38,wake,2,banyan,0,NA
AmPme02f,38,wake,2,baobab,0,NA
AmPme02f,38,sleep,2,blenny,1,797.2
AmPme02f,38,wake,2,caracal,0,NA
AmPme02f,38,wake,2,deglupta,0,NA
AmPme02f,38,sleep,2,dingo,1,873.7
AmPme02f,38,sleep,2,dorado,0,NA
AmPme02f,38,wake,2,drongo,1,1301
AmPme02f,38,wake,2,galah,0,NA
AmPme02f,38,wake,2,gelada,0,NA
AmPme02f,38,wake,2,hoopoe,0,NA
AmPme02f,38,sleep,2,komondor,1,1061.2
AmPme02f,38,wake,2,lesula,0,NA
AmPme02f,38,sleep,2,lycaon,0,NA
AmPme02f,38,wake,2,mandrill,1,968.5
AmPme02f,38,sleep,2,marmot,0,NA
AmPme02f,38,wake,2,oncilla,0,NA
AmPme02f,38,sleep,2,oranda,0,NA
AmPme02f,38,sleep,2,protea,0,NA
AmPme02f,38,wake,2,serval,1,1275.5
AmPme02f,38,sleep,2,trillium,1,861.7
AmPme02f,38,sleep,2,woylie,1,970.5
AmPme02f,38,sleep,1,agouti,0,NA
AmPme02f,38,wake,1,banyan,1,1636.3
AmPme02f,38,wake,1,baobab,1,3348.2
AmPme02f,38,sleep,1,blenny,1,1017.9
AmPme02f,38,wake,1,caracal,0,NA
AmPme02f,38,wake,1,deglupta,0,NA
AmPme02f,38,sleep,1,dingo,1,840.8
AmPme02f,38,sleep,1,dorado,0,NA
AmPme02f,38,wake,1,drongo,1,1085.2
AmPme02f,38,wake,1,galah,0,NA
AmPme02f,38,wake,1,gelada,0,NA
AmPme02f,38,wake,1,hoopoe,0,NA
AmPme02f,38,sleep,1,komondor,1,1184.8
AmPme02f,38,wake,1,lesula,0,NA
AmPme02f,38,sleep,1,lycaon,0,NA
AmPme02f,38,wake,1,mandrill,1,854.9
AmPme02f,38,sleep,1,marmot,0,NA
