target,Cross,cluster_id,Male
1,R/R,10,10
1,R/R,11,14
1,R/R,12,11
1,R/R,13,13
1,R/R,14,12
1,R/W,15,28
0,R/W,16,27
0,R/W,17,25
0,R/W,18,29
0,R/W,19,26
0,W/R,20,18
0,W/R,21,16
0,W/R,22,17
0,W/R,23,19
0,W/R,24,15
0,W/W,25,24
1,W/W,26,23
1,W/W,27,20
1,W/W,28,22
1,W/W,29,21
1,R/W,10,23
1,R/W,11,24
0,R/W,12,20
1,R/W,13,21
1,R/W,14,22
1,R/R,15,18
0,R/R,16,17
1,R/R,17,15
0,R/R,18,16
0,R/R,19,19
1,W/W,20,28
0,W/W,21,25
0,W/W,22,26
1,W/W,23,29
1,W/W,24,27
0,W/R,25,11
1,W/R,26,10
0,W/R,27,13
1,W/R,28,12
0,W/R,29,14
1,R/R,10,14
1,R/R,11,12
1,R/R,12,10
1,R/R,13,11
1,R/R,14,13
1,R/W,15,29
0,R/W,16,28
0,R/W,17,26
1,R/W,18,27
1,R/W,19,25
1,W/R,20,16
0,W/R,21,18
0,W/R,22,15
1,W/R,23,17
0,W/R,24,19
1,W/W,25,22
1,W/W,26,24
1,W/W,27,21
1,W/W,28,20
0,W/W,29,23
0,R/W,10,20
1,R/W,11,22
1,R/W,12,23
0,R/W,13,24
1,R/W,14,21
0,R/R,15,16
1,R/R,16,18
0,R/R,17,19
1,R/R,18,15
0,R/R,19,17
1,W/W,20,29
1,W/W,21,26
0,W/W,22,28
1,W/W,23,27
0,W/W,24,25
0,W/R,25,13
0,W/R,26,11
0,W/R,27,14
1,W/R,28,10
1,W/R,29,12
1,R/R,10,13
1,R/R,11,10
1,R/R,12,12
1,R/R,13,14
1,R/R,14,11
1,R/W,15,25
0,R/W,16,26
1,R/W,17,29
1,R/W,18,28
1,R/W,19,27
0,W/R,20,19
0,W/R,21,15
0,W/R,22,16
0,W/R,23,18
0,W/R,24,17
0,W/W,25,21
1,W/W,26,20
1,W/W,27,24
1,W/W,28,23
1,W/W,29,22
1,R/W,10,24
1,R/W,11,21
1,R/W,12,22
1,R/W,13,23
1,R/W,14,20
1,R/R,15,17
0,R/R,16,15
1,R/R,17,18
1,R/R,18,19
0,R/R,19,16
1,W/W,20,27
0,W/W,21,29
1,W/W,22,25
1,W/W,23,28
0,W/W,24,26
0,W/R,25,10
1,W/R,26,14
0,W/R,27,12
0,W/R,28,13
0,W/R,29,11
1,R/R,30,30
1,R/R,31,34
0,R/R,32,31
1,R/R,33,33
1,R/R,34,32
1,R/W,35,48
1,R/W,36,47
1,R/W,37,45
1,R/W,38,49
0,R/W,39,46
0,W/R,40,38
0,W/R,41,36
0,W/R,42,37
0,W/R,43,39
0,W/R,44,35
1,W/W,45,44
1,W/W,46,43
0,W/W,47,40
1,W/W,48,42
1,W/W,49,41
0,R/W,30,43
1,R/W,31,44
1,R/W,32,40
0,R/W,33,41
0,R/W,34,42
1,R/R,35,38
1,R/R,36,37
0,R/R,37,35
1,R/R,38,36
0,R/R,39,39
1,W/W,40,48
1,W/W,41,45
1,W/W,42,46
0,W/W,43,49
0,W/W,44,47
0,W/R,45,31
0,W/R,46,30
0,W/R,47,33
1,W/R,48,32
0,W/R,49,34
1,R/R,30,34
1,R/R,31,32
1,R/R,32,30
0,R/R,33,31
1,R/R,34,33
1,R/W,35,49
0,R/W,36,48
0,R/W,37,46
1,R/W,38,47
1,R/W,39,45
0,W/R,40,36
0,W/R,41,38
0,W/R,42,35
1,W/R,43,37
0,W/R,44,39
1,W/W,45,42
1,W/W,46,44
0,W/W,47,41
1,W/W,48,40
1,W/W,49,43
0,R/W,30,40
0,R/W,31,42
1,R/W,32,43
0,R/W,33,44
0,R/W,34,41
0,R/R,35,36
1,R/R,36,38
0,R/R,37,39
1,R/R,38,35
1,R/R,39,37
0,W/W,40,49
0,W/W,41,46
1,W/W,42,48
1,W/W,43,47
0,W/W,44,45
1,W/R,45,33
0,W/R,46,31
0,W/R,47,34
1,W/R,48,30
1,W/R,49,32
1,R/R,30,33
0,R/R,31,30
1,R/R,32,32
0,R/R,33,34
0,R/R,34,31
0,R/W,35,45
0,R/W,36,46
1,R/W,37,49
0,R/W,38,48
1,R/W,39,47
0,W/R,40,39
0,W/R,41,35
0,W/R,42,36
0,W/R,43,38
0,W/R,44,37
1,W/W,45,41
0,W/W,46,40
0,W/W,47,44
1,W/W,48,43
1,W/W,49,42
0,R/W,30,44
1,R/W,31,41
1,R/W,32,42
0,R/W,33,43
0,R/W,34,40
0,R/R,35,37
1,R/R,36,35
0,R/R,37,38
1,R/R,38,39
0,R/R,39,36
1,W/W,40,47
1,W/W,41,49
1,W/W,42,45
1,W/W,43,48
0,W/W,44,46
1,W/R,45,30
0,W/R,46,34
0,W/R,47,32
1,W/R,48,33
0,W/R,49,31
1,R/R,50,50
0,R/R,51,54
1,R/R,52,51
1,R/R,53,53
0,R/R,54,52
0,R/W,55,68
0,R/W,56,67
1,R/W,57,65
0,R/W,58,69
0,R/W,59,66
0,W/R,60,58
0,W/R,61,56
1,W/R,62,57
1,W/R,63,59
0,W/R,64,55
0,W/W,65,64
1,W/W,66,63
0,W/W,67,60
1,W/W,68,62
0,W/W,69,61
1,R/W,50,63
0,R/W,51,64
1,R/W,52,60
0,R/W,53,61
1,R/W,54,62
1,R/R,55,58
1,R/R,56,57
1,R/R,57,55
0,R/R,58,56
1,R/R,59,59
0,W/W,60,68
1,W/W,61,65
0,W/W,62,66
1,W/W,63,69
1,W/W,64,67
0,W/R,65,51
0,W/R,66,50
0,W/R,67,53
0,W/R,68,52
0,W/R,69,54
1,R/R,50,54
0,R/R,51,52
1,R/R,52,50
1,R/R,53,51
1,R/R,54,53
1,R/W,55,69
0,R/W,56,68
1,R/W,57,66
1,R/W,58,67
1,R/W,59,65
0,W/R,60,56
0,W/R,61,58
1,W/R,62,55
1,W/R,63,57
1,W/R,64,59
1,W/W,65,62
1,W/W,66,64
1,W/W,67,61
0,W/W,68,60
1,W/W,69,63
0,R/W,50,60
1,R/W,51,62
0,R/W,52,63
1,R/W,53,64
0,R/W,54,61
1,R/R,55,56
0,R/R,56,58
1,R/R,57,59
0,R/R,58,55
1,R/R,59,57
1,W/W,60,69
1,W/W,61,66
0,W/W,62,68
0,W/W,63,67
1,W/W,64,65
0,W/R,65,53
0,W/R,66,51
0,W/R,67,54
0,W/R,68,50
0,W/R,69,52
1,R/R,50,53
0,R/R,51,50
1,R/R,52,52
0,R/R,53,54
1,R/R,54,51
1,R/W,55,65
0,R/W,56,66
1,R/W,57,69
1,R/W,58,68
1,R/W,59,67
0,W/R,60,59
0,W/R,61,55
0,W/R,62,56
0,W/R,63,58
0,W/R,64,57
0,W/W,65,61
0,W/W,66,60
1,W/W,67,64
1,W/W,68,63
1,W/W,69,62
1,R/W,50,64
0,R/W,51,61
1,R/W,52,62
0,R/W,53,63
0,R/W,54,60
1,R/R,55,57
0,R/R,56,55
0,R/R,57,58
1,R/R,58,59
1,R/R,59,56
1,W/W,60,67
1,W/W,61,69
1,W/W,62,65
0,W/W,63,68
1,W/W,64,66
0,W/R,65,50
0,W/R,66,54
0,W/R,67,52
0,W/R,68,53
0,W/R,69,51
