target,Xfixed.V1,Xfixed.x1,Xfixed.x2,Xfixed.x3,Xfixed.x4,Xfixed.x5,Xrandom.V1,Xrandom.x1,cluster_id
1,1,0.032152334,0.855711914,0.959214466,0.896256792,0.642748221,1,0.032152334,1
1,1,0.409807807,0.312481303,0.744136514,0.236549953,0.044153936,1,0.409807807,1
1,1,0.253247299,0.969582875,0.300663855,0.366952409,0.691193386,1,0.253247299,1
1,1,0.897164642,0.137228609,0.710578455,0.742419765,0.690344306,1,0.897164642,1
0,1,0.43700035,0.716624937,0.832019363,0.414458317,0.613881578,1,0.43700035,1
0,1,0.292813776,0.697682071,0.835776614,0.733825662,0.512443972,1,0.292813776,1
1,1,0.395105043,0.981012654,0.040318128,0.020908749,0.028554446,1,0.395105043,1
1,1,0.743340563,0.322561011,0.272977679,0.54766433,0.716905456,1,0.743340563,1
1,1,0.500259996,0.171868682,0.6969072,0.613628899,0.479788964,1,0.500259996,1
1,1,0.060689549,0.845151439,0.138888886,0.222402701,0.685734784,1,0.060689549,1
1,1,0.994187054,0.391117578,0.756751938,0.499018735,0.312503994,1,0.994187054,1
0,1,0.542860542,0.947381327,0.006693116,0.144891752,0.479073036,1,0.542860542,1
0,1,0.251398307,0.351837552,0.605726306,0.830865165,0.258560593,1,0.251398307,1
0,1,0.117749133,0.413096655,0.091639666,0.493525885,0.330225324,1,0.117749133,1
1,1,0.741524685,0.357989318,0.381859194,0.737362998,0.740961063,1,0.741524685,1
1,1,0.265412166,0.737116092,0.315354577,0.692502137,0.057932143,1,0.265412166,1
1,1,0.786956009,0.735926044,0.700392769,0.856815737,0.479637381,1,0.786956009,1
1,1,0.34266554,0.991674704,0.561445827,0.84368985,0.95669001,1,0.34266554,1
1,1,0.712758384,0.392199881,0.818177751,0.040101039,0.956744887,1,0.712758384,1
1,1,0.696934252,0.344021844,0.710334616,0.849824062,0.187442615,1,0.696934252,1
1,1,0.690550102,0.788884823,0.795177154,0.546264729,0.466820891,1,0.690550102,1
1,1,0.47965924,0.886926034,0.015783336,0.197972581,0.472739048,1,0.47965924,1
1,1,0.768455435,0.765600398,0.408878911,0.015546598,0.679073634,1,0.768455435,1
0,1,0.124939469,0.242979344,0.748792244,0.930102706,0.311156832,1,0.124939469,2
1,1,0.997733572,0.146987099,0.725421866,0.898946726,0.537953659,1,0.997733572,2
0,1,0.864132308,0.605236059,0.447492311,0.71042983,0.915584204,1,0.864132308,2
1,1,0.171711878,0.232338371,0.635191878,0.173985437,0.066442404,1,0.171711878,2
1,1,0.551986546,0.219919134,0.729831662,0.206860061,0.654270223,1,0.551986546,2
1,1,0.100996828,0.1201546,0.980798011,0.381021227,0.497536533,1,0.100996828,2
1,1,0.289842693,0.664977703,0.728494044,0.03522418,0.627908688,1,0.289842693,2
