org,year,survey,target,cluster_id,edu,age,female,black,weight
cbsnyt,7,9158,NA,7,3,1,1,0,923
cbsnyt,7,9158,1,39,4,2,1,0,558
cbsnyt,7,9158,0,31,2,4,1,0,448
cbsnyt,7,9158,0,7,3,1,1,0,923
cbsnyt,7,9158,1,33,2,2,1,0,403
cbsnyt,7,9158,1,33,4,4,1,0,317
cbsnyt,7,9158,1,39,2,2,0,0,1532
cbsnyt,7,9158,1,20,2,4,1,0,896
cbsnyt,7,9158,0,33,4,3,0,0,884
cbsnyt,7,9158,0,40,1,3,0,0,4091
cbsnyt,7,9158,0,31,4,2,1,0,279
cbsnyt,7,9158,1,33,3,4,1,0,1212
cbsnyt,7,9158,1,33,4,2,1,0,279
cbsnyt,7,9158,0,31,4,2,1,0,558
cbsnyt,7,9158,0,22,4,2,1,0,558
cbsnyt,7,9158,NA,7,2,1,1,1,1654
cbsnyt,7,9158,1,31,2,4,0,0,568
cbsnyt,7,9158,1,39,1,4,0,0,2691
cbsnyt,7,9158,0,31,2,1,1,0,560
cbsnyt,7,9158,0,33,3,2,0,0,768
cbsnyt,7,9158,0,33,3,4,1,0,541
cbsnyt,7,9158,0,7,2,1,0,0,1422
cbsnyt,7,9158,1,39,2,3,0,0,1069
cbsnyt,7,9158,0,33,4,2,0,0,708
cbsnyt,7,9158,1,33,4,2,0,0,708
cbsnyt,7,9158,0,22,4,3,1,0,697
cbsnyt,7,9158,1,31,2,1,0,0,711
cbsnyt,7,9158,1,31,4,3,1,0,697
cbsnyt,7,9158,0,31,3,4,1,0,361
cbsnyt,7,9158,0,22,1,2,0,0,2336
cbsnyt,7,9158,0,33,2,3,1,0,843
cbsnyt,7,9158,0,44,1,4,0,0,2642
cbsnyt,7,9158,0,22,3,2,0,0,384
cbsnyt,7,9158,0,39,4,2,0,0,708
cbsnyt,7,9158,0,33,3,1,0,0,2341
cbsnyt,7,9158,0,10,2,2,1,0,790
cbsnyt,7,9158,1,31,1,4,1,0,1061
cbsnyt,7,9158,1,4,2,3,1,0,1655
cbsnyt,7,9158,1,31,2,3,1,0,421
cbsnyt,7,9158,0,44,4,3,0,0,868
cbsnyt,7,9158,1,14,2,2,1,0,804
cbsnyt,7,9158,1,41,4,3,0,0,868
cbsnyt,7,9158,1,22,4,1,1,0,664
cbsnyt,7,9158,1,10,1,1,0,0,1396
cbsnyt,7,9158,1,41,4,2,1,0,548
cbsnyt,7,9158,1,39,3,1,0,0,585
cbsnyt,7,9158,1,41,4,2,1,0,548
cbsnyt,7,9158,1,19,2,3,0,0,1574
cbsnyt,7,9158,0,14,2,2,1,0,804
cbsnyt,7,9158,NA,10,2,4,1,0,880
cbsnyt,7,9158,0,47,4,2,1,0,274
cbsnyt,7,9158,0,37,1,3,1,0,1056
cbsnyt,7,9158,0,22,4,1,1,0,664
cbsnyt,7,9158,1,31,1,3,1,0,1075
cbsnyt,7,9158,0,11,3,2,1,0,595
cbsnyt,7,9158,1,36,3,1,0,0,1169
cbsnyt,7,9158,1,24,2,2,0,0,510
cbsnyt,7,9158,1,19,2,2,1,0,790
cbsnyt,7,9158,1,7,3,2,0,0,768
cbsnyt,7,9158,1,25,4,1,0,0,826
cbsnyt,7,9158,0,9,4,2,1,1,809
cbsnyt,7,9158,0,47,1,4,1,0,1042
cbsnyt,7,9158,0,17,1,4,0,0,1344
cbsnyt,7,9158,0,26,2,2,1,0,402
cbsnyt,7,9158,0,49,2,2,1,0,790
cbsnyt,7,9158,1,14,4,2,0,0,707
cbsnyt,7,9158,0,18,3,2,1,0,595
cbsnyt,7,9158,0,21,4,2,1,0,274
cbsnyt,7,9158,NA,50,4,2,1,0,558
cbsnyt,7,9158,1,37,4,3,1,0,342
cbsnyt,7,9158,1,41,2,1,0,1,4446
cbsnyt,7,9158,1,11,3,1,1,0,906
cbsnyt,7,9158,1,43,3,2,1,0,595
cbsnyt,7,9158,0,14,4,3,0,0,221
cbsnyt,7,9158,1,33,2,1,0,0,2132
cbsnyt,7,9158,1,25,2,1,0,0,698
cbsnyt,7,9158,1,49,3,2,1,0,595
cbsnyt,7,9158,1,19,4,2,1,0,548
cbsnyt,7,9158,1,25,2,3,1,0,827
cbsnyt,7,9158,NA,47,2,3,1,0,827
cbsnyt,7,9158,NA,41,1,3,1,0,1056
cbsnyt,7,9158,1,44,4,2,0,0,695
cbsnyt,7,9158,1,43,1,3,0,0,4017
cbsnyt,7,9158,1,47,3,2,0,0,755
cbsnyt,7,9158,0,14,2,2,0,0,1020
cbsnyt,7,9158,NA,26,1,3,0,0,1362
cbsnyt,7,9158,1,19,2,4,1,0,440
cbsnyt,7,9158,1,17,1,1,0,0,2130
cbsnyt,7,9158,1,34,1,3,1,0,2111
cbsnyt,7,9158,1,11,2,3,0,0,525
cbsnyt,7,9158,1,44,4,1,1,0,977
cbsnyt,7,9158,1,24,4,1,0,0,841
cbsnyt,7,9158,1,10,2,1,1,1,2436
cbsnyt,7,9158,0,10,4,4,1,0,623
cbsnyt,7,9158,1,14,2,1,1,0,1120
cbsnyt,7,9158,0,36,3,1,0,0,1169
cbsnyt,7,9158,0,41,2,1,0,0,2094
cbsnyt,7,9158,0,11,1,3,0,0,2678
cbsnyt,7,9158,0,44,3,3,1,1,249
cbsnyt,7,9158,0,11,2,1,1,0,1101
cbsnyt,7,9158,1,10,3,2,0,0,755
cbsnyt,7,9158,0,44,4,2,0,0,348
cbsnyt,7,9158,0,14,4,2,1,0,418
cbsnyt,7,9158,0,50,3,3,0,0,872
cbsnyt,7,9158,0,44,2,4,1,1,649
cbsnyt,7,9158,0,21,2,2,0,0,1003
cbsnyt,7,9158,1,21,4,3,0,0,868
cbsnyt,7,9158,0,43,2,4,1,0,440
cbsnyt,7,9158,0,18,2,1,1,0,1101
cbsnyt,7,9158,0,23,2,1,0,0,1420
cbsnyt,7,9158,1,26,2,2,1,0,1206
cbsnyt,7,9158,1,47,1,2,0,0,2294
cbsnyt,7,9158,1,19,3,2,1,0,446
cbsnyt,7,9158,NA,24,2,1,1,0,1120
cbsnyt,7,9158,0,10,2,1,0,0,1396
cbsnyt,7,9158,1,34,4,3,0,0,868
cbsnyt,7,9158,1,44,2,3,1,0,827
cbsnyt,7,9158,0,10,2,2,0,1,1597
cbsnyt,7,9158,1,15,4,3,1,0,1392
cbsnyt,7,9158,NA,4,2,4,0,0,558
cbsnyt,7,9158,1,25,3,1,0,0,1724
cbsnyt,7,9158,0,23,2,4,1,0,448
cbsnyt,7,9158,0,44,3,1,1,0,906
cbsnyt,7,9158,1,34,2,2,1,0,790
cbsnyt,7,9158,1,34,1,1,1,0,550
cbsnyt,7,9158,1,44,1,4,1,0,1042
cbsnyt,7,9158,1,47,3,1,1,0,906
cbsnyt,7,9158,1,49,1,3,1,0,2111
cbsnyt,7,9158,1,18,1,2,0,0,2294
cbsnyt,7,9158,1,10,1,2,0,0,1147
cbsnyt,7,9158,0,23,2,2,1,1,1187
cbsnyt,7,9158,0,10,2,2,0,0,501
cbsnyt,7,9158,0,24,1,4,0,0,5376
cbsnyt,7,9158,0,44,1,1,0,0,698
cbsnyt,7,9158,1,14,4,3,1,0,348
cbsnyt,7,9158,0,49,2,2,1,0,790
cbsnyt,7,9158,NA,24,2,4,1,0,448
cbsnyt,7,9158,0,10,2,2,0,1,798
cbsnyt,7,9158,1,43,2,4,1,0,880
cbsnyt,7,9158,1,3,3,2,1,0,996
cbsnyt,7,9158,0,13,4,2,1,0,612
cbsnyt,7,9158,0,44,4,3,1,0,684
cbsnyt,7,9158,1,14,4,4,1,0,634
cbsnyt,7,9158,1,44,4,4,1,0,623
cbsnyt,7,9158,1,36,2,2,1,0,804
cbsnyt,7,9158,1,25,4,2,1,0,548
cbsnyt,7,9158,1,49,1,4,1,0,2083
cbsnyt,7,9158,0,47,4,3,1,0,684
cbsnyt,7,9158,1,48,2,2,1,0,882
cbsnyt,7,9158,1,10,4,3,0,0,434
cbsnyt,7,9158,0,16,4,1,1,0,331
cbsnyt,7,9158,0,41,3,1,0,0,1724
cbsnyt,7,9158,1,44,4,4,0,0,790
cbsnyt,7,9158,1,36,3,1,0,0,1169
cbsnyt,7,9158,1,24,3,1,1,0,922
cbsnyt,7,9158,1,48,1,3,1,0,2357
cbsnyt,7,9158,1,36,3,1,1,0,922
cbsnyt,7,9158,1,14,3,3,1,0,1032
cbsnyt,7,9158,1,10,3,1,0,0,1724
cbsnyt,7,9158,1,28,1,4,1,0,2119
cbsnyt,7,9158,1,5,4,2,0,0,388
cbsnyt,7,9158,0,24,2,3,0,0,1601
cbsnyt,7,9158,0,8,2,2,0,0,501
cbsnyt,7,9158,0,5,3,2,1,0,1328
cbsnyt,7,9158,0,23,2,2,1,0,804
cbsnyt,7,9158,0,28,2,1,1,0,1679
cbsnyt,7,9158,1,35,4,2,0,0,707
cbsnyt,7,9158,0,5,3,1,1,0,1012
cbsnyt,7,9158,0,3,1,3,1,0,2357
cbsnyt,7,9158,1,10,4,2,0,0,695
cbsnyt,7,9158,1,48,2,1,0,0,1558
cbsnyt,7,9158,1,28,4,1,1,0,1326
cbsnyt,7,9158,1,44,4,3,0,0,651
cbsnyt,7,9158,0,23,3,1,0,0,1169
cbsnyt,7,9158,1,14,2,1,1,0,1120
cbsnyt,7,9158,0,26,2,2,1,0,402
cbsnyt,7,9158,1,23,4,1,1,0,994
cbsnyt,7,9158,0,18,2,3,1,0,414
cbsnyt,7,9158,1,17,2,2,1,0,804
cbsnyt,7,9158,0,14,3,2,1,1,1339
cbsnyt,7,9158,0,23,4,3,1,0,348
cbsnyt,7,9158,1,5,2,3,0,0,586
cbsnyt,7,9158,0,14,2,1,0,0,1420
cbsnyt,7,9158,0,5,2,3,1,0,924
cbsnyt,7,9158,0,5,3,2,1,0,332
cbsnyt,7,9158,0,14,3,3,1,0,2063
cbsnyt,7,9158,1,5,3,4,0,0,1003
cbsnyt,7,9158,0,32,4,3,1,0,382
cbsnyt,7,9158,NA,24,2,4,1,0,895
cbsnyt,7,9158,1,36,3,2,1,0,605
cbsnyt,7,9158,0,5,3,3,1,0,377
cbsnyt,7,9158,0,48,2,4,1,0,491
cbsnyt,7,9158,NA,50,2,1,1,0,1120
cbsnyt,7,9158,NA,5,4,2,0,0,388
cbsnyt,7,9158,0,17,4,2,0,0,354
cbsnyt,7,9158,0,48,3,1,1,0,1012
cbsnyt,7,9158,1,48,3,3,1,0,755
cbsnyt,7,9158,0,5,4,2,0,0,776
cbsnyt,7,9158,1,5,3,3,0,0,718
cbsnyt,7,9158,1,5,2,1,0,0,1558
cbsnyt,7,9158,0,32,3,2,1,0,332
cbsnyt,7,9158,0,38,4,2,0,0,776
cbsnyt,7,9158,0,36,2,3,1,0,842
cbsnyt,7,9158,1,5,4,2,0,0,776
cbsnyt,7,9158,1,50,3,2,0,0,768
cbsnyt,7,9158,0,5,2,4,0,0,1246
cbsnyt,7,9158,1,32,2,3,0,0,1171
cbsnyt,7,9158,1,5,2,4,1,0,983
cbsnyt,7,9158,1,48,3,4,1,0,396
cbsnyt,7,9158,0,5,3,2,0,0,842
cbsnyt,7,9158,1,5,4,3,0,0,727
cbsnyt,7,9158,1,45,4,3,0,0,1454
cbsnyt,7,9158,1,45,3,1,1,0,1012
cbsnyt,7,9158,1,5,2,3,1,0,2309
cbsnyt,7,9158,1,44,4,2,1,1,809
cbsnyt,7,9158,1,5,3,2,1,0,664
cbsnyt,7,9158,0,22,4,2,0,0,1062
cbsnyt,7,9158,0,31,2,2,0,0,511
cbsnyt,7,9158,0,31,4,1,1,0,1659
cbsnyt,7,9158,1,43,3,2,1,0,297
cbsnyt,7,9158,1,10,4,2,0,0,348
cbsnyt,7,9158,0,5,2,3,1,0,462
cbsnyt,7,9158,0,36,3,4,1,0,721
cbsnyt,7,9158,1,5,2,2,1,0,882
cbsnyt,7,9158,1,33,1,1,0,0,1422
cbsnyt,7,9158,1,36,2,1,0,0,1420
cbsnyt,7,9158,1,5,3,2,1,0,664
cbsnyt,7,9158,0,14,4,1,0,1,669
cbsnyt,7,9158,0,41,2,1,0,0,1396
cbsnyt,7,9158,0,48,3,3,1,0,377
cbsnyt,7,9158,1,5,4,2,0,0,776
cbsnyt,7,9158,1,23,4,3,1,0,348
cbsnyt,7,9158,0,33,4,1,0,0,842
cbsnyt,7,9158,1,50,4,2,1,0,558
cbsnyt,7,9158,0,36,2,2,1,0,804
cbsnyt,7,9158,0,36,2,1,1,0,1120
cbsnyt,7,9158,0,33,4,3,0,0,884
cbsnyt,7,9158,1,47,3,3,1,0,676
cbsnyt,7,9158,0,40,3,2,1,0,606
cbsnyt,7,9158,1,14,4,2,1,0,279
cbsnyt,7,9158,1,36,2,1,1,0,1120
cbsnyt,7,9158,1,5,2,2,0,0,1119
cbsnyt,7,9158,0,22,4,3,1,0,1045
cbsnyt,7,9158,1,5,2,1,1,0,1229
cbsnyt,7,9158,1,38,2,2,0,0,1679
cbsnyt,7,9158,NA,11,3,2,0,0,755
cbsnyt,7,9158,0,40,1,4,1,0,1061
cbsnyt,7,9158,1,3,2,3,0,0,1171
cbsnyt,7,9158,1,50,4,1,1,0,663
cbsnyt,7,9158,NA,24,2,4,1,0,448
cbsnyt,7,9158,1,45,4,2,0,0,776
cbsnyt,7,9158,1,24,2,1,0,0,1420
cbsnyt,7,9158,1,36,2,4,0,0,1136
cbsnyt,7,9158,0,16,2,3,1,0,842
cbsnyt,7,9158,0,20,4,1,0,0,421
cbsnyt,7,9158,0,44,4,1,0,0,1653
cbsnyt,7,9158,1,32,3,2,1,0,332
cbsnyt,7,9158,1,50,2,2,1,0,402
cbsnyt,7,9158,0,3,2,3,1,0,1385
cbsnyt,7,9158,0,23,2,3,1,0,421
