cluster_id,item,context,rpitch,rintensity,rduration,target,trial,text
1004,1,New,-54.27510479,1.972,-0.810930216,Noun,2,My friend Mary has pretty high standards when it comes to food and drink. So guess what she brought for last night's dinner: A good wine. 
1050,1,New,500.3678682,5.562,0.148420005,Adjective,5,My friend Mary has pretty high standards when it comes to food and drink. So guess what she brought for last night's dinner: A good wine. 
1169,1,New,-15.94934989,0.84,-0.671168274,Noun,24,My friend Mary has pretty high standards when it comes to food and drink. So guess what she brought for last night's dinner: A good wine. 
1170,1,New,145.8920485,4.065,-0.542324291,Adjective,35,My friend Mary has pretty high standards when it comes to food and drink. So guess what she brought for last night's dinner: A good wine. 
1171,1,New,195.9558466,-1.948,0.113328685,Noun,14,My friend Mary has pretty high standards when it comes to food and drink. So guess what she brought for last night's dinner: A good wine. 
1172,1,New,101.9120888,1.228,-0.860201265,Noun,33,My friend Mary has pretty high standards when it comes to food and drink. So guess what she brought for last night's dinner: A good wine. 
1173,1,New,131.1861721,6.493,-0.805625164,Noun,21,My friend Mary has pretty high standards when it comes to food and drink. So guess what she brought for last night's dinner: A good wine. 
1174,1,New,-309.4881257,7.271,-0.379489622,Adjective,36,My friend Mary has pretty high standards when it comes to food and drink. So guess what she brought for last night's dinner: A good wine. 
1175,1,New,188.1963471,2.825,-0.693147181,Adjective,2,My friend Mary has pretty high standards when it comes to food and drink. So guess what she brought for last night's dinner: A good wine. 
1176,1,New,-203.643072,-2.076,-0.693147181,Noun,31,My friend Mary has pretty high standards when it comes to food and drink. So guess what she brought for last night's dinner: A good wine. 
1177,1,New,51.22947212,-0.084,-0.805625164,Adjective,30,My friend Mary has pretty high standards when it comes to food and drink. So guess what she brought for last night's dinner: A good wine. 
1178,1,New,94.50688575,10.47,-0.485507816,Noun,12,My friend Mary has pretty high standards when it comes to food and drink. So guess what she brought for last night's dinner: A good wine. 
1179,1,New,61.59027334,2.061,-0.857450232,Adjective,14,My friend Mary has pretty high standards when it comes to food and drink. So guess what she brought for last night's dinner: A good wine. 
1180,1,New,NA,8.305,-0.234839591,Adjective,35,My friend Mary has pretty high standards when it comes to food and drink. So guess what she brought for last night's dinner: A good wine. 
207,1,New,1613.874856,7.108,0.030771659,Adjective,14,My friend Mary has pretty high standards when it comes to food and drink. So guess what she brought for last night's dinner: A good wine. 
264,1,New,-5.142523305,0.093,0.105360516,Noun,34,My friend Mary has pretty high standards when it comes to food and drink. So guess what she brought for last night's dinner: A good wine. 
741,1,New,343.3575128,3.324,-0.693147181,Adjective,35,My friend Mary has pretty high standards when it comes to food and drink. So guess what she brought for last night's dinner: A good wine. 
820,1,New,223.8686276,5.718,-0.546543706,Adjective,3,My friend Mary has pretty high standards when it comes to food and drink. So guess what she brought for last night's dinner: A good wine. 
1004,1,NoAlternative,-93.4135201,2.046,-0.78845736,Noun,15,"My friend Mary knows everything about French wine, and has pretty high standards when it comes to food and drink. So guess what she brought for last night's dinner: A good wine. "
1050,1,NoAlternative,45.22266899,1.433,-0.451985124,Noun,26,"My friend Mary knows everything about French wine, and has pretty high standards when it comes to food and drink. So guess what she brought for last night's dinner: A good wine. "
1169,1,NoAlternative,-199.7963504,-2.098,-0.416893804,Noun,34,"My friend Mary knows everything about French wine, and has pretty high standards when it comes to food and drink. So guess what she brought for last night's dinner: A good wine. "
1170,1,NoAlternative,30.60899437,10.446,-0.672093771,Adjective,19,"My friend Mary knows everything about French wine, and has pretty high standards when it comes to food and drink. So guess what she brought for last night's dinner: A good wine. "
1171,1,NoAlternative,517.2389568,-0.191,0.068992871,Noun,27,"My friend Mary knows everything about French wine, and has pretty high standards when it comes to food and drink. So guess what she brought for last night's dinner: A good wine. "
1172,1,NoAlternative,-1194.183441,-9.801,-0.826678573,Noun,8,"My friend Mary knows everything about French wine, and has pretty high standards when it comes to food and drink. So guess what she brought for last night's dinner: A good wine. "
1173,1,NoAlternative,81.42521687,10.96,-0.280301965,Noun,7,"My friend Mary knows everything about French wine, and has pretty high standards when it comes to food and drink. So guess what she brought for last night's dinner: A good wine. "
1174,1,NoAlternative,86.03635835,0.827,-0.926762032,Noun,16,"My friend Mary knows everything about French wine, and has pretty high standards when it comes to food and drink. So guess what she brought for last night's dinner: A good wine. "
1175,1,NoAlternative,101.4965912,-1.601,-0.916290732,Noun,23,"My friend Mary knows everything about French wine, and has pretty high standards when it comes to food and drink. So guess what she brought for last night's dinner: A good wine. "
1176,1,NoAlternative,3.671006233,1.682,-0.505094949,Adjective,7,"My friend Mary knows everything about French wine, and has pretty high standards when it comes to food and drink. So guess what she brought for last night's dinner: A good wine. "
1177,1,NoAlternative,155.4953004,0.316,-0.628608659,Noun,23,"My friend Mary knows everything about French wine, and has pretty high standards when it comes to food and drink. So guess what she brought for last night's dinner: A good wine. "
1178,1,NoAlternative,113.6382464,-3.183,-0.435318071,Noun,14,"My friend Mary knows everything about French wine, and has pretty high standards when it comes to food and drink. So guess what she brought for last night's dinner: A good wine. "
1179,1,NoAlternative,267.756267,7.855,-0.387765531,Adjective,4,"My friend Mary knows everything about French wine, and has pretty high standards when it comes to food and drink. So guess what she brought for last night's dinner: A good wine. "
1180,1,NoAlternative,169.5854274,-2.473,-0.764606145,Noun,23,"My friend Mary knows everything about French wine, and has pretty high standards when it comes to food and drink. So guess what she brought for last night's dinner: A good wine. "
207,1,NoAlternative,NA,8.556,0,Adjective,27,"My friend Mary knows everything about French wine, and has pretty high standards when it comes to food and drink. So guess what she brought for last night's dinner: A good wine. "
264,1,NoAlternative,NA,3.192,-0.530628251,Adjective,11,"My friend Mary knows everything about French wine, and has pretty high standards when it comes to food and drink. So guess what she brought for last night's dinner: A good wine. "
