cluster_id,target,livch,age,urban
1,N,3+,18.44,Y
1,N,0,-5.5599,Y
1,N,2,1.44,Y
1,N,3+,8.44,Y
1,N,0,-13.559,Y
1,N,0,-11.56,Y
1,N,3+,18.44,Y
1,N,3+,-3.5599,Y
1,N,1,-5.5599,Y
1,N,3+,1.44,Y
1,Y,0,-11.56,Y
1,N,0,-2.5599,Y
1,N,1,-4.5599,Y
1,N,3+,5.44,Y
1,N,3+,-0.5599,Y
1,Y,3+,4.44,Y
1,N,0,-5.5599,Y
1,Y,3+,-0.5599,Y
1,Y,1,-6.5599,Y
1,N,2,-3.56,Y
1,N,0,-4.5599,Y
1,N,0,-9.5599,Y
1,N,3+,2.44,Y
1,Y,2,2.44,Y
1,Y,1,-4.5599,Y
1,N,3+,14.44,Y
1,Y,0,-6.5599,Y
1,Y,1,-3.5599,Y
1,Y,1,-5.5599,Y
1,Y,1,-1.5599,Y
1,N,2,-6.5599,Y
1,Y,2,-2.5599,Y
1,N,2,-7.5599,Y
1,N,0,9.44,Y
1,N,3+,8.44,Y
1,N,3+,14.44,Y
1,Y,3+,8.44,Y
1,N,3+,6.44,Y
1,N,2,-3.56,Y
1,Y,3+,-5.5599,Y
1,N,3+,14.44,Y
1,N,3+,2.44,Y
1,N,1,-10.559,Y
1,N,3+,5.44,Y
1,Y,1,-7.5599,Y
1,Y,2,-4.5599,Y
1,Y,3+,-1.5599,Y
1,N,1,-11.559,Y
1,Y,3+,1.44,Y
1,Y,2,11.44,Y
1,N,0,-12.559,Y
1,Y,2,-2.5599,Y
1,N,0,-3.5599,Y
1,Y,0,-4.5599,Y
1,Y,2,-7.5599,Y
1,Y,1,8.44,Y
1,Y,2,-5.5599,Y
1,N,3+,7.44,Y
1,N,1,-6.5599,Y
1,N,0,-11.56,Y
1,N,3+,15.44,Y
1,N,2,-4.5599,Y
1,N,2,-3.56,Y
1,N,3+,11.44,N
1,N,3+,-4.5599,N
1,N,3+,10.44,N
1,N,3+,4.44,N
1,N,3+,-3.5599,N
1,N,0,-12.559,N
1,N,2,-7.5599,N
1,N,0,-13.559,N
1,N,3+,3.44,N
1,N,2,19.44,N
1,N,2,-7.5599,N
1,N,2,1.44,N
1,N,0,-4.5599,N
1,N,0,-7.5599,N
1,N,3+,-1.5599,N
1,N,3+,2.44,N
1,N,3+,8.44,N
1,N,3+,8.44,N
1,N,0,-9.5599,N
1,Y,3+,8.44,N
1,N,3+,7.44,N
1,N,3+,5.44,N
1,Y,3+,2.44,N
1,N,0,-4.5599,N
1,N,3+,0.44,N
1,N,3+,11.44,N
1,Y,3+,-3.5599,N
1,N,0,5.44,N
1,N,3+,-1.5599,N
1,N,2,-7.5599,N
1,Y,3+,5.44,N
1,N,1,6.44,N
1,Y,3+,0.44,N
1,Y,3+,10.44,N
1,Y,3+,7.44,N
1,N,1,-11.559,N
1,N,2,10.44,N
1,N,3+,2.44,N
1,N,2,-3.5599,N
1,N,3+,0.44,N
1,N,3+,16.44,N
1,N,1,4.44,N
1,N,3+,12.44,N
1,N,3+,8.44,N
1,N,3+,18.44,N
1,N,0,-13.559,N
1,N,1,-11.559,N
1,N,0,-2.56,N
1,N,0,-5.5599,N
1,N,2,3.44,N
1,N,0,-1.5599,N
1,N,3+,3.44,N
1,N,3+,-1.5599,N
1,N,2,11.44,N
2,N,3+,-1.5599,N
2,N,2,-5.5599,N
2,N,0,-13.559,N
2,Y,2,-5.5599,N
2,N,3+,19.44,N
2,Y,3+,1.44,N
2,Y,1,-2.56,N
2,Y,2,6.44,N
2,N,2,-5.5599,N
2,Y,3+,7.44,N
2,N,3+,1.44,N
2,N,2,0.44,N
2,N,0,-11.559,N
2,N,3+,10.44,N
2,N,0,-7.56,N
2,Y,2,-2.5599,N
2,N,0,-13.559,N
2,Y,2,-2.5599,N
2,N,2,1.44,N
2,N,1,-11.559,N
3,Y,3+,-3.5599,Y
3,Y,0,-8.5599,Y
4,Y,1,-6.5599,Y
4,Y,3+,2.44,Y
4,Y,2,-1.5599,Y
4,N,0,-3.5599,Y
4,Y,3+,4.44,Y
4,Y,2,7.44,Y
4,Y,3+,7.44,Y
4,Y,3+,-0.5599,Y
4,Y,1,-10.559,Y
4,Y,1,-3.5599,Y
4,Y,3+,2.44,Y
4,N,2,-2.5599,N
4,Y,1,-4.5599,N
4,N,0,-4.5599,N
4,N,3+,14.44,N
4,N,3+,16.44,N
4,N,3+,6.44,N
4,N,3+,-1.5599,N
4,Y,1,1.44,N
4,N,3+,2.44,N
4,N,3+,13.44,N
4,N,3+,16.44,N
4,Y,3+,-0.5599,N
4,Y,3+,8.44,N
4,Y,3+,2.44,N
4,N,0,-10.559,N
4,N,2,-1.5599,N
4,N,1,-11.559,N
4,N,2,-9.5599,N
4,N,0,-7.5599,N
5,N,0,-13.56,Y
5,Y,3+,2.44,Y
5,N,1,-4.5599,N
5,N,3+,3.44,N
5,N,0,-13.559,N
5,Y,2,-4.5599,N
5,N,0,-11.559,N
5,Y,0,-11.559,N
5,Y,1,-6.5599,N
5,N,3+,13.44,N
5,Y,0,-11.559,N
5,N,0,-10.559,N
5,N,0,-10.559,N
5,N,3+,16.44,N
5,N,0,-3.56,N
5,N,3+,-2.5599,N
5,N,3+,16.44,N
5,Y,3+,7.44,N
5,N,0,-10.559,N
5,N,3+,0.44,N
